file,channel,calibrated,scan_x_um,scan_y_um,rows,cols,pixel_x_nm,pixel_y_nm,poly_degree,sigma_clip,fit_pixels_retained_pct,row_method,despike,despike_mad_k,despiked_pixels,despiked_pct,Sa_nm,Sq_RMS_nm,Sz_nm,Sz_p99p5_nm,Ssk,Sku,figure_png,processed_npz
15_0617_oxy_40W_1um_1.0_00000.spm,"s [zsensor] ""height sensor""",True,1.0,1.0,512,512,1.953125,1.953125,2,3.5,86.05537414550781,median,True,3.0,22776,8.6883544921875,0.5220589199953427,0.6982873654852992,8.096533908974818,4.2585398393239915,-0.660911923522122,7.646767216338924,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_RMS_outputs/15_0617_oxy_40W_1um_1.0_00000_rms_topography.png,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_RMS_outputs/15_0617_oxy_40W_1um_1.0_00000_rms_processed_height.npz
15_0617_oxy_40W_1um_2.0_00000.spm,"s [zsensor] ""height sensor""",True,1.0,1.0,512,512,1.953125,1.953125,2,3.5,99.08332824707031,median,True,3.0,30270,11.547088623046875,0.3282321911849317,0.46366201233257437,6.560253780790053,3.248282638861787,-0.9922484376415112,12.601727755053165,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_RMS_outputs/15_0617_oxy_40W_1um_2.0_00000_rms_topography.png,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_RMS_outputs/15_0617_oxy_40W_1um_2.0_00000_rms_processed_height.npz
15_0617_oxy_40W_1um_3.0_00000.spm,"s [zsensor] ""height sensor""",True,1.0,1.0,512,512,1.953125,1.953125,2,3.5,99.2584228515625,median,True,3.0,37040,14.129638671875,0.37353185506162073,0.4963118119352066,6.661057162430117,2.953941844783767,-0.2435230593099703,5.77396499952224,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_RMS_outputs/15_0617_oxy_40W_1um_3.0_00000_rms_topography.png,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_RMS_outputs/15_0617_oxy_40W_1um_3.0_00000_rms_processed_height.npz
15_0617_oxy_40W_2um_1.0_00000.spm,"s [zsensor] ""height sensor""",True,2.0,2.0,512,512,3.90625,3.90625,2,3.5,99.37934875488281,median,True,3.0,71616,27.3193359375,0.49999197925349453,0.680226053861767,9.83442506700439,4.3754637262887215,-1.0802502272496113,11.148554948125717,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_RMS_outputs/15_0617_oxy_40W_2um_1.0_00000_rms_topography.png,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_RMS_outputs/15_0617_oxy_40W_2um_1.0_00000_rms_processed_height.npz
15_0617_oxy_40W_2um_2.0_00000.spm,"s [zsensor] ""height sensor""",True,2.0,2.0,512,512,3.90625,3.90625,2,3.5,99.05166625976562,median,True,3.0,59950,22.869110107421875,0.3668389076669959,0.5306422508383484,8.742488259576998,3.654461850937299,-1.6908527394024133,19.091716870677224,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_RMS_outputs/15_0617_oxy_40W_2um_2.0_00000_rms_topography.png,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_RMS_outputs/15_0617_oxy_40W_2um_2.0_00000_rms_processed_height.npz
15_0617_oxy_40W_2um_3.0_00000.spm,"s [zsensor] ""height sensor""",True,2.0,2.0,512,512,3.90625,3.90625,2,3.5,99.25689697265625,median,True,3.0,145415,55.47142028808594,0.43354152918203476,0.6186419863435656,9.846516326955589,4.348502899538035,-1.785285385149971,18.006462130762575,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_RMS_outputs/15_0617_oxy_40W_2um_3.0_00000_rms_topography.png,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_RMS_outputs/15_0617_oxy_40W_2um_3.0_00000_rms_processed_height.npz
15_0617_oxy_40W_5um_1.0_00000.spm,"s [zsensor] ""height sensor""",True,5.0,5.0,512,512,9.765625,9.765625,2,3.5,99.542236328125,median,True,3.0,43431,16.567611694335938,0.3812611363501459,0.54485536489274,9.385507638919963,2.8214811048656037,-2.169265875113096,23.458388509467866,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_RMS_outputs/15_0617_oxy_40W_5um_1.0_00000_rms_topography.png,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_RMS_outputs/15_0617_oxy_40W_5um_1.0_00000_rms_processed_height.npz
15_0617_oxy_40W_5um_2.0_00000.spm,"s [zsensor] ""height sensor""",True,5.0,5.0,512,512,9.765625,9.765625,2,3.5,92.87872314453125,median,True,3.0,36569,13.949966430664062,0.42687299819849533,0.6062025500774552,10.103599865537623,3.2650024036273377,-1.8335695042507734,19.822148081184743,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_RMS_outputs/15_0617_oxy_40W_5um_2.0_00000_rms_topography.png,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_RMS_outputs/15_0617_oxy_40W_5um_2.0_00000_rms_processed_height.npz
15_0617_oxy_40W_5um_3.0_00000.spm,"s [zsensor] ""height sensor""",True,5.0,5.0,512,512,9.765625,9.765625,2,3.5,88.726806640625,median,True,3.0,38452,14.66827392578125,0.413735893060759,0.5838146823141539,9.200419017163405,3.090902631134536,-1.7174101421738095,18.869598081842614,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_RMS_outputs/15_0617_oxy_40W_5um_3.0_00000_rms_topography.png,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_RMS_outputs/15_0617_oxy_40W_5um_3.0_00000_rms_processed_height.npz
22_0624_1um_1.0_00002.spm,"s [zsensor] ""height sensor""",True,1.0,1.0,512,512,1.953125,1.953125,2,3.5,99.67117309570312,median,True,3.0,26873,10.251235961914062,0.2740806119107753,0.35520885099114985,3.9725036156919367,1.9359463485674624,-0.1292737387146988,4.316480939171749,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_RMS_outputs/22_0624_1um_1.0_00002_rms_topography.png,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_RMS_outputs/22_0624_1um_1.0_00002_rms_processed_height.npz
22_0624_2um_1.0_00001.spm,"s [zsensor] ""height sensor""",True,2.0,2.0,512,512,3.90625,3.90625,2,3.5,99.664306640625,median,True,3.0,56138,21.414947509765625,0.29548852705173995,0.4156904920336893,6.819152691112726,2.5427887424712194,-1.5529901197522111,16.8696706341818,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_RMS_outputs/22_0624_2um_1.0_00001_rms_topography.png,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_RMS_outputs/22_0624_2um_1.0_00001_rms_processed_height.npz
22_0624_5um_1.0_00003.spm,"s [zsensor] ""height sensor""",True,5.0,5.0,512,512,9.765625,9.765625,2,3.5,99.54910278320312,median,True,3.0,37853,14.439773559570312,0.32703186821810853,0.4901874281970191,13.231404835528771,2.5178785702654447,-2.8856294801266578,34.70139702994442,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_RMS_outputs/22_0624_5um_1.0_00003_rms_topography.png,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_RMS_outputs/22_0624_5um_1.0_00003_rms_processed_height.npz
24_0625_1um_1.0_00000.spm,"s [zsensor] ""height sensor""",True,1.0,1.0,512,512,1.953125,1.953125,2,3.5,99.85847473144531,median,True,3.0,3,0.0011444091796875,0.4393737869264057,0.5543468509103284,4.438962290361892,2.882343968095344,0.25886876453769503,3.1340176113882188,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_RMS_outputs/24_0625_1um_1.0_00000_rms_topography.png,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_RMS_outputs/24_0625_1um_1.0_00000_rms_processed_height.npz
24_0625_2um_1.0_00000.spm,"s [zsensor] ""height sensor""",True,2.0,2.0,512,512,3.90625,3.90625,2,3.5,99.87602233886719,median,True,3.0,100937,38.50440979003906,0.40615604533373867,0.5159126079932139,5.307892863468067,2.754095455805846,0.15744350902086202,3.434345374467247,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_RMS_outputs/24_0625_2um_1.0_00000_rms_topography.png,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_RMS_outputs/24_0625_2um_1.0_00000_rms_processed_height.npz
24_0625_5um_1.0_00001.spm,"s [zsensor] ""height sensor""",True,5.0,5.0,512,512,9.765625,9.765625,2,3.5,96.59805297851562,median,True,3.0,24335,9.283065795898438,0.4392915376406457,0.5889842759302458,17.854246377772707,3.080227264500464,0.4075772118498453,22.453210066598228,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_RMS_outputs/24_0625_5um_1.0_00001_rms_topography.png,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_RMS_outputs/24_0625_5um_1.0_00001_rms_processed_height.npz
25_0626_vac210_1um_2.0_00001.spm,"s [zsensor] ""height sensor""",True,1.0,1.0,256,256,3.90625,3.90625,2,3.5,99.86572265625,median,True,3.0,29050,44.3267822265625,0.3972393992541383,0.5049543608949242,4.5119482683738905,2.688776876774689,0.31909284687221734,3.385090507904124,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_RMS_outputs/25_0626_vac210_1um_2.0_00001_rms_topography.png,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_RMS_outputs/25_0626_vac210_1um_2.0_00001_rms_processed_height.npz
25_0626_vac210_2um_1.0_00000.spm,"s [zsensor] ""height sensor""",True,2.0,2.0,256,256,7.8125,7.8125,2,3.5,92.6422119140625,median,True,3.0,13392,20.4345703125,0.2729079274770724,0.3701037743041438,6.8312391345442585,2.132726857467583,0.12203255386868267,9.60069372346076,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_RMS_outputs/25_0626_vac210_2um_1.0_00000_rms_topography.png,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_RMS_outputs/25_0626_vac210_2um_1.0_00000_rms_processed_height.npz
25_0626_vac210_2um_1.0_00001.spm,"s [zsensor] ""height sensor""",True,2.0,2.0,256,256,7.8125,7.8125,2,3.5,99.61700439453125,median,True,3.0,15850,24.1851806640625,0.25792096796633995,0.3815401491004322,8.778619277505696,2.2421703360798,3.7054554446971006,52.13630135858952,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_RMS_outputs/25_0626_vac210_2um_1.0_00001_rms_topography.png,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_RMS_outputs/25_0626_vac210_2um_1.0_00001_rms_processed_height.npz
25_0626_vac210_2um_2.0_00000.spm,"s [zsensor] ""height sensor""",True,2.0,2.0,256,256,7.8125,7.8125,2,3.5,99.71466064453125,median,True,3.0,7356,11.224365234375,0.40245753405563756,0.5340368037097459,11.311757415175665,2.740935591140894,1.3752707183823116,20.680766843411764,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_RMS_outputs/25_0626_vac210_2um_2.0_00000_rms_topography.png,/Users/markqu/Library/CloudStorage/OneDrive-JohnsHopkins/Research/2026_ORNL_Kelley_RSI/Data_/AFM_batch_process/All_Data/AFM_RMS_outputs/25_0626_vac210_2um_2.0_00000_rms_processed_height.npz
